van postcode,tot postcode,plaats,gemeente,provincie
5707,5707,Diepenbroek,Helmond,Noord-Brabant
6285,6285,Diependal,Gulpen-Wittem,Limburg
7478,7478,Diepenheim,Hof van Twente,Overijssel
7430,7431,Diepenveen,Deventer,Overijssel
9812,9812,Diepswal,Zuidhorn,Groningen
6950,6953,Dieren,Rheden,Gelderland
3882,3882,Diermen,Putten,Gelderland
5221,5221,Dieskant,'s-Hertogenbosch,Noord-Brabant
5087,5087,Diessen,Hilvarenbeek,Noord-Brabant
6114,6114,Dieteren,Echt-Susteren,Limburg
7980,7981,Diever,Westerveld,Drenthe
7984,7984,Dieverbrug,Westerveld,Drenthe
7795,7795,Diffelen,Hardenberg,Overijssel
5721,5721,Dijk,Asten,Noord-Brabant
6281,6281,Dijk,Gulpen-Wittem,Limburg
5995,5995,Dijk,Peel en Maas,Limburg
5469,5469,Dijk,Veghel,Noord-Brabant
8528,8528,Dijken,Skarsterlân,Friesland
7451,7451,Dijkerhoek,Rijssen-Holten,Overijssel
6006,6006,Dijkerstraat,Weert,Limburg
7271,7271,Dijkhoek,Berkelland,Gelderland
4316,4316,Dijkhuisjes,Schouwen-Duiveland,Zeeland
8161,8161,Dijkhuizen,Epe,Gelderland
9131,9131,Dijkshorne,Dongeradeel,Friesland
8821,8821,Dijksterburen,Súdwest Fryslân,Friesland
4421,4421,Dijkwel,Kapelle,Zeeland
7876,7876,Dikbroeken,Borger-Odoorn,Drenthe
4670,4671,Dinteloord,Steenbergen,Noord-Brabant
4671,4671,Dintelsas,Steenbergen,Noord-Brabant
5473,5473,Dinther,Bernheze,Noord-Brabant
5473,5473,Dintherse Hoek,Bernheze,Noord-Brabant
7090,7091,Dinxperlo,Aalten,Gelderland
7842,7842,Diphoorn,Coevorden,Drenthe
1746,1746,Dirkshorn,Harenkarspel,Noord-Holland
3247,3247,Dirksland,Dirksland,Zuid-Holland
4371,4371,Dishoek,Veere,Zeeland
5268,5268,Distelberg,Haaren,Noord-Brabant
4836,4836,Diunt,Breda,Noord-Brabant
6669,6669,Dodewaard,Neder-Betuwe,Gelderland
6439,6439,Doenrade,Schinnen,Limburg
6980,6984,Doesburg,Doesburg,Gelderland
6718,6718,Doesburgerbuurt,Ede,Gelderland
7000,7009,Doetinchem,Doetinchem,Gelderland
5256,5256,Doeveren,Heusden,Noord-Brabant
9863,9863,Doezum,Grootegast,Groningen
8801,8801,Doijum,Franekeradeel,Friesland
9100,9103,Dokkum,Dongeradeel,Friesland
9132,9132,Dokkumer Nieuwe Zijlen,Dongeradeel,Friesland
6343,6343,Dolberg,Voerendaal,Limburg
8386,8386,Doldersum,Westerveld,Drenthe
4357,4357,Domburg,Veere,Zeeland
7122,7122,Domme Aanleg,Aalten,Gelderland
5551,5551,Dommelen,Valkenswaard,Noord-Brabant
5437,5437,Dommelsvoort,Cuijk,Noord-Brabant
9005,9005,Domwier,Boarnsterhim,Friesland
9497,9497,Donderen,Tynaarlo,Drenthe
5100,5107,Dongen,Dongen,Noord-Brabant
8808,8808,Dongjum,Franekeradeel,Friesland
8761,8761,Doniaburen,Súdwest Fryslân,Friesland
8516,8516,Doniaga,Skarsterlân,Friesland
5512,5512,Donk,Eersel,Noord-Brabant
5768,5768,Donk,Peel en Maas,Limburg
5995,5995,Donk,Peel en Maas,Limburg
8435,8435,Donkerbroek,Ooststellingwerf,Friesland
5741,5741,Donkersvoort,Laarbeek,Noord-Brabant
5388,5388,Donzel,Bernheze,Noord-Brabant
9997,9997,Doodstil,Eemsmond,Groningen
5421,5421,Doonheide,Gemert-Bakel,Noord-Brabant
3940,3941,Doorn,Utrechtse Heuvelrug,Utrecht
6686,6686,Doornenburg,Lingewaard,Gelderland
5258,5258,Doornhoek,Sint-Michielsgestel,Noord-Brabant
5465,5465,Doornhoek,Veghel,Noord-Brabant
6681,6681,Doornik,Lingewaard,Gelderland
6663,6663,Doornik,Nijmegen,Gelderland
5327,5327,Doorning,Maasdriel,Gelderland
8085,8085,Doornspijk,Elburg,Gelderland
3861,3861,Doornsteeg,Nijkerk,Gelderland
6865,6865,Doorwerth,Renkum,Gelderland
7946,7946,Doosje,Steenwijkerland,Overijssel
3300,3329,Dordrecht,Dordrecht,Zuid-Holland
9746,9746,Dorkwerd,Groningen,Groningen
9871,9871,Dorp,Grootegast,Groningen
5462,5462,Dorshout,Veghel,Noord-Brabant
4849,4849,Dorst,Oosterhout,Noord-Brabant
7437,7437,Dortherhoek,Deventer,Overijssel
6447,6447,Douvergenhout,Onderbanken,Limburg
9965,9965,Douwen,De Marne,Groningen
4527,4527,Draaibrug,Sluis,Zeeland
9200,9207,Drachten,Smallingerland,Friesland
9207,9207,Drachten Azeven,Opsterland,Friesland
9222,9222,Drachtstercompagnie,Smallingerland,Friesland
8618,8618,Draeisterhuzen,Súdwest Fryslân,Friesland
4315,4315,Dreischor,Schouwen-Duiveland,Zeeland
6996,6996,Drempt,Bronckhorst,Gelderland
6620,6621,Dreumel,West Maas en Waal,Gelderland
3852,3852,Drie,Ermelo,Gelderland
4566,4566,Drie Hoefijzers,Hulst,Zeeland
4675,4675,Drie Hoefijzers,Moerdijk,Noord-Brabant
3971,3972,Driebergen-Rijsenburg,Utrechtse Heuvelrug,Utrecht
9151,9151,Drieboerehuizen,Dongeradeel,Friesland
9688,9688,Drieborg,Oldambt,Groningen
3465,3465,Driebruggen,Bodegraven-Reeuwijk,Zuid-Holland
3862,3862,Driedorp,Nijkerk,Gelderland
3774,3774,Drieënhuizen,Barneveld,Gelderland
5684,5684,Driehoek,Best,Noord-Brabant
4793,4793,Driehoek,Moerdijk,Noord-Brabant
5841,5841,Driehoek,Sint Anthonis,Noord-Brabant
5691,5691,Driehoek,Son en Breugel,Noord-Brabant
4881,4881,Driehoek,Zundert,Noord-Brabant
5511,5511,Driehuis,Eersel,Noord-Brabant
1985,1985,Driehuis,Velsen,Noord-Holland
5111,5111,Driehuizen,Baarle-Nassau,Noord-Brabant
5512,5512,Driehuizen,Eersel,Noord-Brabant
5081,5081,Driehuizen,Hilvarenbeek,Noord-Brabant
1844,1844,Driehuizen,Schermer,Noord-Holland
5464,5464,Driehuizen,Veghel,Noord-Brabant
6665,6665,Driel,Overbetuwe,Gelderland
7522,7522,Driene,Enschede,Overijssel
6086,6086,Dries,Leudal,Limburg
4571,4571,Drieschouwen,Terneuzen,Zeeland
6718,6718,Driesprong,Ede,Gelderland
4438,4438,Driewegen,Borsele,Zeeland
4521,4522,Driewegen,Terneuzen,Zeeland
9114,9114,Driezum,Dantumadiel,Friesland
9419,9419,Drijber,Midden-Drenthe,Drenthe
4924,4924,Drimmelen,Drimmelen,Noord-Brabant
9289,9289,Drogeham,Achtkarspelen,Friesland
7921,7921,Drogt,De Wolden,Drenthe
7705,7705,Drogteropslagen,De Wolden,Drenthe
4267,4267,Drongelen,Aalburg,Noord-Brabant
9035,9035,Dronrijp,Menameradiel,Friesland
8250,8254,Dronten,Dronten,Flevoland
9533,9533,Drouwen,Borger-Odoorn,Drenthe
9523,9523,Drouwenermond,Borger-Odoorn,Drenthe
9525,9525,Drouwenerveen,Borger-Odoorn,Drenthe
5131,5131,Druisdijk,Alphen-Chaam,Noord-Brabant
5150,5152,Drunen,Heusden,Noord-Brabant
6650,6652,Druten,Druten,Gelderland
8650,8651,Drylts,Súdwest Fryslân,Friesland
5993,5993,Dubbroek,Peel en Maas,Limburg
5411,5411,Duifhuis,Landerd,Noord-Brabant
5406,5406,Duifhuis,Uden,Noord-Brabant
5175,5175,Duiksehoef,Loon op Zand,Noord-Brabant
3849,3849,Duinen,Harderwijk,Gelderland
7391,7391,Duistervoorde,Voorst,Gelderland
6920,6922,Duiven,Duiven,Gelderland
1115,1115,Duivendrecht,Ouder-Amstel,Noord-Holland
4587,4587,Duivenhoek,Hulst,Zeeland
5525,5525,Duizel,Eersel,Noord-Brabant
4284,4284,Duizend Morgen,Woudrichem,Noord-Brabant
7597,7597,Dulder,Dinkelland,Overijssel
5085,5085,Dun,Hilvarenbeek,Noord-Brabant
7255,7255,Dunsborg,Bronckhorst,Gelderland
4270,4271,Dussen,Werkendam,Noord-Brabant
8121,8121,Duur,Olst-Wijhe,Overijssel
5351,5351,Duurendseind,Oss,Noord-Brabant
9651,9651,Duurkenakker,Menterwolde,Groningen
9663,9663,Dwarsdiep,Stadskanaal,Groningen
8355,8355,Dwarsgracht,Steenwijkerland,Overijssel
7990,7991,Dwingeloo,Westerveld,Drenthe
9006,9006,Eagum,Boarnsterhim,Friesland
8580,8581,Ealahúzen,Gaasterlân-Sleat,Friesland
9264,9264,Earnewâld,Tytsjerksteradiel,Friesland
8495,8495,Easterboarn,Boarnsterhim,Friesland
8734,8734,Easterein,Littenseradiel,Friesland
8835,8835,Easterlittens,Littenseradiel,Friesland
9260,9261,Eastermar,Tytsjerksteradiel,Friesland
9020,9021,Easterwierrum,Littenseradiel,Friesland
8618,8618,Easthim,Súdwest Fryslân,Friesland
7695,7695,Ebbenbroek,Hardenberg,Overijssel
6100,6101,Echt,Echt-Susteren,Limburg
4054,4054,Echteld,Neder-Betuwe,Gelderland
7932,7932,Echten,De Wolden,Drenthe
8537,8537,Echten,Lemsterland,Friesland
8539,8539,Echtenerbrug,Lemsterland,Friesland
6105,6105,Echterbosch,Echt-Susteren,Limburg
4024,4024,Eck en Wiel,Buren,Gelderland
6250,6252,Eckelrade,Eijsden-Margraten,Limburg
1135,1135,Edam,Edam-Volendam,Noord-Holland
6710,6718,Ede,Ede,Gelderland
6744,6744,Ederveen,Ede,Gelderland
9130,9131,Ee,Dongeradeel,Friesland
4529,4529,Eede,Sluis,Zeeland
7210,7211,Eefde,Lochem,Gelderland
7141,7141,Eefsele,Oost Gelre,Gelderland
8097,8097,Eekt,Oldebroek,Gelderland
9917,9917,Eekwerd,Loppersum,Groningen
9917,9917,Eekwerderdraai,Loppersum,Groningen
9760,9761,Eelde,Tynaarlo,Drenthe
9766,9766,Eelderwolde,Tynaarlo,Drenthe
7447,7447,Eelen,Hellendoorn,Overijssel
3754,3754,Eemdijk,Bunschoten,Utrecht
3755,3755,Eemnes,Eemnes,Utrecht
7991,7991,Eemster,Westerveld,Drenthe
8765,8765,Eemswoude,Súdwest Fryslân,Friesland
7957,7957,Eemten,De Wolden,Drenthe
9342,9342,Een,Noordenveld,Drenthe
5674,5674,Eeneind,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
1744,1744,Eenigenburg,Harenkarspel,Noord-Holland
9967,9967,Eenrum,De Marne,Groningen
9913,9913,Eenum,Loppersum,Groningen
9343,9343,Een-West,Noordenveld,Drenthe
6960,6961,Eerbeek,Brummen,Gelderland
7731,7731,Eerde,Ommen,Overijssel
5466,5466,Eerde,Veghel,Noord-Brabant
5520,5521,Eersel,Eersel,Noord-Brabant
9515,9515,Eerste Dwarsdiep,Aa en Hunze,Drenthe
9573,9573,Eerste Exloërmond,Borger-Odoorn,Drenthe
9536,9536,Ees,Borger-Odoorn,Drenthe
9537,9537,Eesergroen,Borger-Odoorn,Drenthe
7858,7859,Eeserveen,Borger-Odoorn,Drenthe
8534,8534,Eesterga,Lemsterland,Friesland
8347,8347,Eesveen,Steenwijkerland,Overijssel
4266,4266,Eethen,Aalburg,Noord-Brabant
9463,9463,Eext,Aa en Hunze,Drenthe
9679,9679,Eextahaven,Oldambt,Groningen
9658,9658,Eexterveen,Aa en Hunze,Drenthe
9659,9659,Eexterveenschekanaal,Aa en Hunze,Drenthe
9464,9464,Eexterzandvoort,Aa en Hunze,Drenthe
4838,4838,Effen,Breda,Noord-Brabant
9217,9217,Egbertsgaasten,Smallingerland,Friesland
5987,5987,Egchel,Peel en Maas,Limburg
5987,5987,Egchelheide,Peel en Maas,Limburg
7447,7447,Egede,Hellendoorn,Overijssel
1934,1934,Egmond aan den Hoef,Bergen,Noord-Holland
1930,1931,Egmond aan Zee,Bergen,Noord-Holland
1935,1935,Egmond-Binnen,Bergen,Noord-Holland
5531,5531,Egypte,Bladel,Noord-Brabant
7150,7152,Eibergen,Berkelland,Gelderland
6245,6245,Eijsden,Eijsden-Margraten,Limburg
4854,4854,Eikberg,Breda,Noord-Brabant
5111,5111,Eikelenbosch,Baarle-Nassau,Noord-Brabant
5962,5962,Eikelenbosch,Horst aan de Maas,Limburg
8121,8121,Eikelhof,Olst-Wijhe,Overijssel
5406,5406,Eikenheuvel,Uden,Noord-Brabant
6086,6086,Eiland,Leudal,Limburg
6107,6107,Eiland,Maasgouw,Limburg
4635,4635,Eiland,Woensdrecht,Noord-Brabant
6662,6662,Eimeren,Overbetuwe,Gelderland
5561,5561,Eind,Bergeijk,Noord-Brabant
6088,6088,Eind,Leudal,Limburg
6034,6034,Eind,Nederweert,Limburg
5694,5694,Eind,Son en Breugel,Noord-Brabant
4911,4911,Eind van Den Hout,Oosterhout,Noord-Brabant
6071,6071,Einde,Roermond,Limburg
4458,4458,Eindewege,Goes,Zeeland
5600,5658,Eindhoven,Eindhoven,Noord-Brabant
5715,5715,Eindje,Someren,Noord-Brabant
6142,6142,Einighausen,Sittard-Geleen,Limburg
9682,9684,Ekamp,Oldambt,Groningen
9454,9454,Ekehaar,Aa en Hunze,Drenthe
8080,8081,Elburg,Elburg,Gelderland
5481,5481,Elde,Schijndel,Noord-Brabant
6842,6842,Elden,Arnhem,Gelderland
9453,9453,Eldersloo,Aa en Hunze,Drenthe
4051,4051,Eldik,Neder-Betuwe,Gelderland
6998,6998,Eldrik,Bronckhorst,Gelderland
9456,9456,Eleveld,Aa en Hunze,Drenthe
7916,7916,Elim,Hoogeveen,Drenthe
6289,6289,Elkenrade,Gulpen-Wittem,Limburg
4322,4322,Elkerzee,Schouwen-Duiveland,Zeeland
6010,6011,Ell,Leudal,Limburg
6955,6955,Ellecom,Rheden,Gelderland
4323,4323,Ellemeet,Schouwen-Duiveland,Zeeland
6011,6011,Ellerhei,Leudal,Limburg
9781,9781,Ellerhuizen,Bedum,Groningen
9541,9541,Ellersinghuizen,Vlagtwedde,Groningen
9535,9535,Ellertshaar,Borger-Odoorn,Drenthe
4437,4437,Ellewoutsdijk,Borsele,Zeeland
9442,9442,Elp,Midden-Drenthe,Drenthe
7475,7475,Elsen,Hof van Twente,Overijssel
5424,5424,Elsendorp,Gemert-Bakel,Noord-Brabant
7475,7475,Elsenerbroek,Hof van Twente,Overijssel
8131,8131,Elshof,Olst-Wijhe,Overijssel
5154,5154,Elshout,Heusden,Noord-Brabant
5864,5864,Elshout,Horst aan de Maas,Limburg
8424,8424,Elsloo,Ooststellingwerf,Friesland
6180,6181,Elsloo,Stein,Limburg
8075,8075,Elspeet,Nunspeet,Gelderland
5386,5386,Elst,Maasdonk,Noord-Brabant
6660,6662,Elst,Overbetuwe,Gelderland
3920,3922,Elst,Rhenen,Utrecht
5855,5855,Elsteren,Bergen,Limburg
6281,6281,Elzet,Gulpen-Wittem,Limburg
6301,6301,Emmaberg,Valkenburg aan de Geul,Limburg
4568,4568,Emmadorp,Hulst,Zeeland
8300,8305,Emmeloord,Noordoostpolder,Flevoland
7722,7722,Emmen,Dalfsen,Overijssel
7800,7828,Emmen,Emmen,Drenthe
7881,7881,Emmer-Compascuum,Emmen,Drenthe
7399,7399,Empe,Brummen,Gelderland
5236,5236,Empel,'s-Hertogenbosch,Noord-Brabant
8166,8166,Emst,Epe,Gelderland
5815,5815,Endepoel,Venray,Limburg
4288,4288,Eng,Woudrichem,Noord-Brabant
7361,7361,Engeland,Apeldoorn,Gelderland
7722,7722,Engeland,Dalfsen,Overijssel
7963,7963,Engeland,De Wolden,Drenthe
7784,7784,Engeland,Hardenberg,Overijssel
9723,9723,Engelbert,Groningen,Groningen
5221,5221,Engelen,'s-Hertogenbosch,Noord-Brabant
9038,9038,Engelum,Menameradiel,Friesland
9883,9883,Englum,Zuidhorn,Groningen
6305,6305,Engwegen,Valkenburg aan de Geul,Limburg
8754,8754,Engwier,Súdwest Fryslân,Friesland
9132,9132,Engwierum,Dongeradeel,Friesland
1600,1602,Enkhuizen,Enkhuizen,Noord-Holland
8307,8307,Ens,Noordoostpolder,Flevoland
7500,7548,Enschede,Enschede,Overijssel
4157,4157,Enspijk,Geldermalsen,Gelderland
7468,7468,Enter,Wierden,Overijssel
9811,9811,Enumatil,Leek,Groningen
9812,9812,Enumatil,Zuidhorn,Groningen
9918,9918,Enzelens,Loppersum,Groningen
8160,8162,Epe,Epe,Gelderland
6285,6285,Epen,Gulpen-Wittem,Limburg
6285,6285,Eperheide,Gulpen-Wittem,Limburg
9996,9996,Eppenhuizen,Eemsmond,Groningen
7214,7214,Epse,Lochem,Gelderland
7887,7887,Erica,Emmen,Drenthe
4117,4117,Erichem,Buren,Gelderland
6577,6577,Erlecom,Ubbergen,Gelderland
7843,7843,Erm,Coevorden,Drenthe
3850,3853,Ermelo,Ermelo,Gelderland
7833,7833,Ermerveen,Emmen,Drenthe
5469,5469,Erp,Veghel,Noord-Brabant
5085,5085,Esbeek,Hilvarenbeek,Noord-Brabant
5296,5296,Esch,Haaren,Noord-Brabant
5364,5364,Escharen,Grave,Noord-Brabant
6731,6731,Eschoten,Ede,Gelderland
5421,5421,Esdonk,Gemert-Bakel,Noord-Brabant
5761,5761,Esp,Gemert-Bakel,Noord-Brabant
8310,8311,Espel,Noordoostpolder,Flevoland
7451,7451,Espelo,Rijssen-Holten,Overijssel
3774,3774,Essen,Barneveld,Gelderland
9751,9751,Essen,Haren,Groningen
4185,4185,Est,Neerijnen,Gelderland
3771,3771,Esveld,Barneveld,Gelderland
6321,6321,Etenaken,Gulpen-Wittem,Limburg
6063,6063,Etsberg,Roerdalen,Limburg
7075,7075,Etten,Oude IJsselstreek,Gelderland
4870,4879,Etten-Leur,Etten-Leur,Noord-Brabant
6454,6454,Etzenrade,Onderbanken,Limburg
9411,9411,Eursing,Midden-Drenthe,Drenthe
7935,7935,Eursinge,De Wolden,Drenthe
9434,9434,Eursinge,Midden-Drenthe,Drenthe
7971,7971,Eursinge,Westerveld,Drenthe
6029,6029,Euvelwegen,Heeze-Leende,Noord-Brabant
6271,6271,Euverem,Gulpen-Wittem,Limburg
5688,5688,Evenheuvel,Oirschot,Noord-Brabant
4120,4121,Everdingen,Vianen,Utrecht
4707,4707,Everland,Roosendaal,Noord-Brabant
5981,5981,Everlo,Peel en Maas,Limburg
4421,4421,Eversdijk,Kapelle,Zeeland
5491,5491,Everse,Sint-Oedenrode,Noord-Brabant
5977,5977,Evertsoord,Horst aan de Maas,Limburg
9966,9966,Ewer,De Marne,Groningen
6644,6644,Ewijk,Beuningen,Gelderland
6611,6611,Ewijk,Heumen,Gelderland
5432,5432,Ewinkel,Cuijk,Noord-Brabant
9571,9571,Exloërkijl,Borger-Odoorn,Drenthe
9574,9574,Exloërveen,Borger-Odoorn,Drenthe
7875,7875,Exloo,Borger-Odoorn,Drenthe
8759,8759,Exmorra,Súdwest Fryslân,Friesland
8759,8759,Exmorra,Súdwest Fryslân,Friesland
8759,8759,Exmorrazijl,Súdwest Fryslân,Friesland
6470,6471,Eygelshoven,Kerkrade,Limburg
6287,6287,Eys,Gulpen-Wittem,Limburg
6367,6287,Eyserheide,Gulpen-Wittem,Limburg
9890,9891,Ezinge,Winsum,Groningen
9133,9133,Ezumazijl,Dongeradeel,Friesland
9822,9822,Faan,Grootegast,Groningen
9171,9171,Farebuorren,Ferwerderadiel,Friesland
9936,9936,Farmsum,Delfzijl,Groningen
8804,8804,Fatum,Franekeradeel,Friesland
9269,9269,Feanwâlden,Dantumadiel,Friesland
9254,9269,Feanwâldsterwâl,Dantumadiel,Friesland
9892,9892,Feerwerd,Winsum,Groningen
9755,9755,Felland,Haren,Groningen
9172,9172,Ferwert,Ferwerderadiel,Friesland
8760,8761,Ferwoude,Súdwest Fryslân,Friesland
8616,8616,Feytebuorren,Súdwest Fryslân,Friesland
9947,9947,Fiemel,Delfzijl,Groningen
8774,8774,Fijfhús,Súdwest Fryslân,Friesland
4793,4793,Fijnaart,Moerdijk,Noord-Brabant
8521,8521,Finkeburen,Skarsterlân,Friesland
9053,9053,Finkum,Leeuwarderadeel,Friesland
9684,9684,Finsterwolde,Oldambt,Groningen
9684,9684,Finsterwolderhamrik,Oldambt,Groningen
8852,8852,Firdgum,Franekeradeel,Friesland
9012,9012,Flânsum,Boarnsterhim,Friesland
7666,7666,Fleringen,Tubbergen,Overijssel
6691,6691,Flieren,Lingewaard,Gelderland
7930,7931,Fluitenberg,Hoogeveen,Drenthe
8428,8428,Fochteloo,Ooststellingwerf,Friesland
5473,5473,Fokkershoek,Bernheze,Noord-Brabant
8535,8535,Follega,Lemsterland,Friesland
8773,8773,Folsgeare,Súdwest Fryslân,Friesland
8894,8894,Formerum,Terschelling,Friesland
7924,7924,Fort,De Wolden,Drenthe
8121,8121,Fortmond,Olst-Wijhe,Overijssel
9154,9154,Foudgum,Dongeradeel,Friesland
9607,9607,Foxhol,Hoogezand-Sappemeer,Groningen
9607,9607,Foxholsterbosch,Hoogezand-Sappemeer,Groningen
9314,9314,Foxwolde,Noordenveld,Drenthe
9991,9991,Fraamklap,Loppersum,Groningen
8800,8802,Franeker,Franekeradeel,Friesland
8043,8043,Frankhuis,Zwolle,Overijssel
3848,3848,Frankrijk,Harderwijk,Gelderland
5531,5531,Fransehoef,Bladel,Noord-Brabant
9833,9833,Fransum,Zuidhorn,Groningen
8382,8382,Frederiksoord,Westerveld,Drenthe
9009,9009,Friens,Boarnsterhim,Friesland
9249,9249,Frieschepalen,Opsterland,Friesland
7433,7433,Frieswijk,Deventer,Overijssel
6367,6367,Fromberg,Voerendaal,Limburg
9619,9619,Froombosch,Slochteren,Groningen
9884,9884,Frytum,Zuidhorn,Groningen
9023,9023,Fúns,Littenseradiel,Friesland
3155,3155,Gaag,Midden-Delfland,Zuid-Holland
7010,7011,Gaanderen,Doetinchem,Gelderland
9843,9843,Gaarkeuken,Zuidhorn,Groningen
9628,9628,Gaarland,Slochteren,Groningen
8757,8757,Gaast,Súdwest Fryslân,Friesland
4926,4926,Gaete,Drimmelen,Noord-Brabant
8723,8723,Galamadammen,Súdwest Fryslân,Friesland
4855,4855,Galder,Alphen-Chaam,Noord-Brabant
9205,9205,Galhoeke,Smallingerland,Friesland
5310,5311,Gameren,Zaltbommel,Gelderland
7561,7561,Gammelke,Dinkelland,Overijssel
9684,9684,Ganzedijk,Oldambt,Groningen
4031,4031,Ganzert,Buren,Gelderland
4352,4352,Gapinge,Veere,Zeeland
3774,3774,Garderbroek,Barneveld,Gelderland
3886,3886,Garderen,Barneveld,Gelderland
9798,9798,Garmerwolde,Ten Boer,Groningen
9438,9438,Garminge,Midden-Drenthe,Drenthe
9893,9893,Garnwerd,Winsum,Groningen
9918,9918,Garrelsweer,Loppersum,Groningen
9903,9903,Garreweer,Appingedam,Groningen
9923,9923,Garsthuizen,Loppersum,Groningen
9263,9263,Garyp,Tytsjerksteradiel,Friesland
5438,5438,Gassel,Grave,Noord-Brabant
9462,9462,Gasselte,Aa en Hunze,Drenthe
9514,9514,Gasselterboerveen,Aa en Hunze,Drenthe
9515,9515,Gasselterboerveenschemond,Aa en Hunze,Drenthe
9514,9514,Gasselternijveen,Aa en Hunze,Drenthe
9515,9515,Gasselternijveenschemond,Aa en Hunze,Drenthe
6028,6028,Gastel,Cranendonck,Noord-Brabant
4751,4751,Gastelsveer,Halderberge,Noord-Brabant
9466,9466,Gasteren,Aa en Hunze,Drenthe
6268,6268,Gasthuis,Eijsden-Margraten,Limburg
8627,8627,Gau,Súdwest Fryslân,Friesland
4414,4414,Gawege,Reimerswaal,Zeeland
5715,5715,Gebergte,Someren,Noord-Brabant
6101,6101,Gebroek,Echt-Susteren,Limburg
6121,6121,Gebroek,Sittard-Geleen,Limburg
9937,9937,Geefsweer,Delfzijl,Groningen
9455,9455,Geelbroek,Aa en Hunze,Drenthe
5708,5735,Geeneind,Helmond,Noord-Brabant
4243,4243,Geer,Zederik,Zuid-Holland
7681,7681,Geerdijk,Twenterand,Overijssel
4858,4858,Geersbroek,Alphen-Chaam,Noord-Brabant
4494,4494,Geersdijk,Noord-Beveland,Zeeland
8171,8171,Geerstraat,Epe,Gelderland
4930,4931,Geertruidenberg,Geertruidenberg,Noord-Brabant
3210,3211,Geervliet,Bernisse,Zuid-Holland
7863,7863,Gees,Coevorden,Drenthe
7917,7917,Geesbrug,Coevorden,Drenthe
7274,7274,Geesteren,Berkelland,Gelderland
7678,7678,Geesteren,Tubbergen,Overijssel
7985,7985,Geeuwenbrug,Westerveld,Drenthe
5386,5386,Geffen,Maasdonk,Noord-Brabant
6913,6913,Geitenwaard,Rijnwaarden,Gelderland
4190,4191,Geldermalsen,Geldermalsen,Gelderland
1761,1761,Gelderse Buurt,Hollands Kroon,Noord-Holland
2735,2735,Gelderswoude,Zoeterwoude,Zuid-Holland
5660,5667,Geldrop,Geldrop-Mierlo,Noord-Brabant
4353,4353,Geldtienden,Veere,Zeeland
6160,6167,Geleen,Sittard-Geleen,Limburg
2964,2964,Gelkenes,Liesveld,Zuid-Holland
4155,4155,Gellicum,Geldermalsen,Gelderland
5951,5951,Geloo,Venlo,Limburg
7275,7275,Gelselaar,Berkelland,Gelderland
3646,3646,Gemaal,De Ronde Venen,Utrecht
5351,5351,Gement,Oss,Noord-Brabant
5420,5422,Gemert,Gemert-Bakel,Noord-Brabant
5290,5294,Gemonde,Sint-Michielsgestel,Noord-Brabant
4265,4265,Genderen,Aalburg,Noord-Brabant
6086,6086,Gendijk,Leudal,Limburg
7080,7081,Gendringen,Oude IJsselstreek,Gelderland
6690,6691,Gendt,Lingewaard,Gelderland
6096,6096,Geneijgen,Leudal,Limburg
8280,8281,Genemuiden,Zwartewaterland,Overijssel
5761,5761,Geneneind,Gemert-Bakel,Noord-Brabant
5851,5851,Gening,Bergen,Limburg
8061,8061,Genne,Zwartewaterland,Overijssel
8061,8061,Genne-Overwaters,Zwartewaterland,Overijssel
6590,6591,Gennep,Gennep,Limburg
5661,5661,Genoenhuis,Geldrop-Mierlo,Noord-Brabant
5914,5914,Genooi,Venlo,Limburg
6086,6086,Gerheggen,Leudal,Limburg
9872,9873,Gerkesklooster,Achtkarspelen,Friesland
7722,7722,Gerner,Dalfsen,Overijssel
8457,8457,Gersloot,Heerenveen,Friesland
3882,3882,Gerven,Putten,Gelderland
5674,5674,Gerwen,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
6325,6325,Geulhem,Valkenburg aan de Geul,Limburg
6243,6243,Geulle,Meerssen,Limburg
5076,5076,Gever,Haaren,Noord-Brabant
6191,6191,Geverik,Beek,Limburg
5236,5236,Gewande,'s-Hertogenbosch,Noord-Brabant
5151,5151,Giersbergen,Heusden,Noord-Brabant
6987,6987,Giesbeek,Zevenaar,Gelderland
4283,4283,Giessen,Woudrichem,Noord-Brabant
3380,3381,Giessenburg,Giessenlanden,Zuid-Holland
3371,3371,Giessendam,Hardinxveld-Giessendam,Zuid-Holland
3381,3381,Giessen-Oudekerk,Giessenlanden,Zuid-Holland
7383,7383,Gietelo,Voorst,Gelderland
9460,9461,Gieten,Aa en Hunze,Drenthe
9510,9511,Gieterveen,Aa en Hunze,Drenthe
8147,8147,Giethmen,Ommen,Overijssel
8355,8355,Giethoorn,Steenwijkerland,Overijssel
2974,2974,Gijbeland,Graafstroom,Zuid-Holland
7963,7963,Gijsselte,De Wolden,Drenthe
5268,5268,Gijzel,Haaren,Noord-Brabant
5661,5661,Gijzenrooi,Geldrop-Mierlo,Noord-Brabant
5126,5126,Gilze,Gilze en Rijen,Noord-Brabant
4861,4861,Ginderdoor,Alphen-Chaam,Noord-Brabant
5738,5738,Ginderdoor,Laarbeek,Noord-Brabant
9174,9174,Ginnum,Ferwerderadiel,Friesland
7585,7585,Glane,Losser,Overijssel
